西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,name
1984,5,己巳,甲子,天干化土,,丙寅己未庚午己未,Test
1985,6,己巳,乙丑,地支金局,,丙寅己未庚午己未,Test
1986,7,己巳,丙寅,,,丙寅己未庚午己未,Test
1987,8,己巳,丁卯,,,丙寅己未庚午己未,Test
1988,9,己巳,戊辰,,,丙寅己未庚午己未,Test
1989,10,己巳,己巳,,,丙寅己未庚午己未,Test
1990,11,己巳,庚午,,,丙寅己未庚午己未,Test
1991,12,己巳,辛未,,,丙寅己未庚午己未,Test
1992,13,己巳,壬申,地支合水,,丙寅己未庚午己未,Test
1993,14,己巳,癸酉,地支金局,,丙寅己未庚午己未,Test
1994,15,戊辰,甲戌,地支土局,,丙寅己未庚午己未,Test
1995,16,戊辰,乙亥,,,丙寅己未庚午己未,Test
1996,17,戊辰,丙子,地支水局,,丙寅己未庚午己未,Test
1997,18,戊辰,丁丑,地支土局,,丙寅己未庚午己未,Test
1998,19,戊辰,戊寅,,,丙寅己未庚午己未,Test
1999,20,戊辰,己卯,,,丙寅己未庚午己未,Test
2000,21,戊辰,庚辰,地支土局,,丙寅己未庚午己未,Test
2001,22,戊辰,辛巳,,,丙寅己未庚午己未,Test
2002,23,戊辰,壬午,,,丙寅己未庚午己未,Test
2003,24,戊辰,癸未,天干化火地支土局,,丙寅己未庚午己未,Test
2004,25,丁卯,甲申,,,丙寅己未庚午己未,Test
2005,26,丁卯,乙酉,,,丙寅己未庚午己未,Test
2006,27,丁卯,丙戌,地支合火,,丙寅己未庚午己未,Test
2007,28,丁卯,丁亥,地支木局,,丙寅己未庚午己未,Test
2008,29,丁卯,戊子,,,丙寅己未庚午己未,Test
2009,30,丁卯,己丑,,,丙寅己未庚午己未,Test
2010,31,丁卯,庚寅,,,丙寅己未庚午己未,Test
2011,32,丁卯,辛卯,,,丙寅己未庚午己未,Test
2012,33,丁卯,壬辰,天干化木,,丙寅己未庚午己未,Test
2013,34,丁卯,癸巳,,,丙寅己未庚午己未,Test
2014,35,丙寅,甲午,地支火局,,丙寅己未庚午己未,Test
2015,36,丙寅,乙未,,,丙寅己未庚午己未,Test
2016,37,丙寅,丙申,,,丙寅己未庚午己未,Test
2017,38,丙寅,丁酉,,,丙寅己未庚午己未,Test
2018,39,丙寅,戊戌,地支火局,,丙寅己未庚午己未,Test
