西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,name
1993,10,癸丑,癸酉,地支金局,,甲寅癸巳甲寅癸亥,cuphd
1994,11,癸丑,甲戌,地支土局,,甲寅癸巳甲寅癸亥,cuphd
1995,12,癸丑,乙亥,,,甲寅癸巳甲寅癸亥,cuphd
1996,13,癸丑,丙子,地支土局,,甲寅癸巳甲寅癸亥,cuphd
1997,14,癸丑,丁丑,地支土局,,甲寅癸巳甲寅癸亥,cuphd
1998,15,癸丑,戊寅,天干化火,,甲寅癸巳甲寅癸亥,cuphd
1999,16,癸丑,己卯,,,甲寅癸巳甲寅癸亥,cuphd
2000,17,癸丑,庚辰,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2001,18,癸丑,辛巳,地支金局,,甲寅癸巳甲寅癸亥,cuphd
2002,19,癸丑,壬午,,,甲寅癸巳甲寅癸亥,cuphd
2003,20,壬子,癸未,,,甲寅癸巳甲寅癸亥,cuphd
2004,21,壬子,甲申,地支水局,,甲寅癸巳甲寅癸亥,cuphd
2005,22,壬子,乙酉,,,甲寅癸巳甲寅癸亥,cuphd
2006,23,壬子,丙戌,,,甲寅癸巳甲寅癸亥,cuphd
2007,24,壬子,丁亥,天干化木,,甲寅癸巳甲寅癸亥,cuphd
2008,25,壬子,戊子,,,甲寅癸巳甲寅癸亥,cuphd
2009,26,壬子,己丑,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2010,27,壬子,庚寅,,,甲寅癸巳甲寅癸亥,cuphd
2011,28,壬子,辛卯,,,甲寅癸巳甲寅癸亥,cuphd
2012,29,壬子,壬辰,地支水局,,甲寅癸巳甲寅癸亥,cuphd
2013,30,辛亥,癸巳,,,甲寅癸巳甲寅癸亥,cuphd
2014,31,辛亥,甲午,,,甲寅癸巳甲寅癸亥,cuphd
2015,32,辛亥,乙未,地支木局,,甲寅癸巳甲寅癸亥,cuphd
2016,33,辛亥,丙申,天干化水,,甲寅癸巳甲寅癸亥,cuphd
2017,34,辛亥,丁酉,,,甲寅癸巳甲寅癸亥,cuphd
2018,35,辛亥,戊戌,,,甲寅癸巳甲寅癸亥,cuphd
2019,36,辛亥,己亥,,,甲寅癸巳甲寅癸亥,cuphd
2020,37,辛亥,庚子,,,甲寅癸巳甲寅癸亥,cuphd
2021,38,辛亥,辛丑,,,甲寅癸巳甲寅癸亥,cuphd
2022,39,辛亥,壬寅,地支合木,,甲寅癸巳甲寅癸亥,cuphd
2023,40,庚戌,癸卯,地支合火,,甲寅癸巳甲寅癸亥,cuphd
