uniqueid,Age_partner_man,DOB_partner_man,bazi_man,Marriage_duration,man日干,year_of_marriage,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,countScore
3,30.0,1975-10-30,"['乙', '卯', '丙', '戌', '己', '酉', '甲', '子']",7.0,己,1998,戊寅,False,False,False,劫財,正官,False,False,False,False,False,日干生日支,False,False,False,0
13,63.0,1948-04-09,"['戊', '子', '丙', '辰', '甲', '子', '甲', '子']",37.0,甲,1974,甲寅,False,False,False,比肩,比肩,False,False,False,False,False,日支生日干,False,False,False,0
16,34.0,1970-07-09,"['庚', '戌', '癸', '未', '庚', '寅', '丙', '子']",10.0,庚,1991,辛未,False,False,False,劫財,正印,False,False,False,False,False,日干剋日支,False,False,False,0
24,41.0,1968-05-31,"['戊', '申', '丁', '巳', '辛', '丑', '戊', '子']",3.0,辛,2002,壬午,False,False,False,傷官,正官,False,False,False,False,False,日支生日干,False,False,False,0
30,33.0,1968-05-09,"['戊', '申', '丁', '巳', '己', '卯', '甲', '子']",12.0,己,1989,己巳,False,False,False,比肩,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
32,27.0,1975-12-26,"['乙', '卯', '戊', '子', '丙', '午', '戊', '子']",3.0,丙,1999,己卯,False,False,False,傷官,正印,False,False,False,False,False,比和,False,False,False,0
34,43.0,1964-04-11,"['甲', '辰', '戊', '辰', '庚', '寅', '丙', '子']",5.0,庚,2001,辛巳,False,False,False,劫財,正官,False,False,False,False,False,日干剋日支,False,False,False,0
36,53.0,1955-10-15,"['乙', '未', '丙', '戌', '己', '酉', '甲', '子']",22.0,己,1986,丙寅,False,False,False,正印,正官,False,False,False,False,False,日干生日支,False,False,False,0
37,53.0,1955-04-19,"['乙', '未', '庚', '辰', '庚', '戌', '丙', '子']",7.0,庚,2001,辛巳,False,False,False,劫財,正官,False,False,False,False,False,日支生日干,False,False,False,0
39,32.0,1967-07-15,"['丁', '未', '丁', '未', '庚', '辰', '丙', '子']",10.0,庚,1989,己巳,False,False,False,正印,正官,False,False,False,False,False,日支生日干,False,False,False,0
42,56.0,1948-05-01,"['戊', '子', '丙', '辰', '丙', '戌', '戊', '子']",,丙,1972,壬子,False,False,False,七殺,正官,False,False,False,False,False,日干生日支,False,False,False,0
48,26.0,1979-07-18,"['己', '未', '辛', '未', '丙', '戌', '戊', '子']",9.0,丙,1997,丁丑,False,False,False,劫財,傷官,False,False,False,False,False,日干生日支,False,False,False,0
59,45.0,1956-10-03,"['丙', '申', '丁', '酉', '癸', '卯', '壬', '子']",17.0,癸,1985,乙丑,False,False,False,食神,七殺,False,False,False,False,False,日干生日支,False,False,False,0
69,31.0,1981-07-06,"['辛', '酉', '甲', '午', '乙', '酉', '丙', '子']",4.0,乙,2007,丁亥,False,False,False,食神,正印,False,False,False,False,False,日支剋日干,False,False,False,0
76,36.0,1966-09-01,"['丙', '午', '丙', '申', '癸', '亥', '壬', '子']",11.0,癸,1992,壬申,False,False,False,劫財,正印,False,False,False,False,False,比和,False,False,False,0
88,27.0,1972-11-17,"['壬', '子', '辛', '亥', '壬', '子', '庚', '子']",3.0,壬,1994,甲戌,False,False,False,食神,七殺,False,False,False,False,False,比和,False,False,False,0
89,31.0,1972-12-17,"['壬', '子', '壬', '子', '壬', '午', '庚', '子']",5.0,壬,1999,己卯,False,False,False,正官,傷官,False,False,False,False,False,日干剋日支,False,False,False,0
90,38.0,1970-01-22,"['己', '酉', '丁', '丑', '壬', '寅', '庚', '子']",15.0,壬,1993,癸酉,False,False,False,劫財,正印,False,False,False,False,False,日干生日支,False,False,False,0
91,45.0,1963-02-09,"['癸', '卯', '甲', '寅', '癸', '未', '壬', '子']",13.0,癸,1994,甲戌,False,False,False,傷官,正官,False,False,False,False,False,日支剋日干,False,False,False,0
94,45.0,1966-07-24,"['丙', '午', '乙', '未', '甲', '申', '甲', '子']",21.0,甲,1990,庚午,False,False,False,七殺,食神,False,False,False,False,False,日支剋日干,False,False,False,0
97,40.0,1966-10-24,"['丙', '午', '戊', '戌', '丙', '辰', '戊', '子']",18.0,丙,1989,己巳,False,False,False,傷官,劫財,False,False,False,False,False,日干生日支,False,False,False,0
100,36.0,1972-02-27,"['壬', '子', '壬', '寅', '戊', '子', '壬', '子']",10.0,戊,1998,戊寅,False,False,False,比肩,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
104,28.0,1982-03-08,"['壬', '戌', '癸', '卯', '庚', '寅', '丙', '子']",2.0,庚,2008,戊子,False,False,False,偏印,傷官,False,False,False,False,False,日干剋日支,False,False,False,0
107,23.0,1977-05-19,"['丁', '巳', '乙', '巳', '丙', '子', '戊', '子']",2.0,丙,1998,戊寅,False,False,False,食神,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
108,54.0,1957-12-12,"['丁', '酉', '壬', '子', '戊', '午', '壬', '子']",14.0,戊,1997,丁丑,False,False,False,正印,劫財,False,False,False,False,False,日支生日干,False,False,False,0
118,30.0,1979-11-28,"['己', '未', '乙', '亥', '己', '亥', '甲', '子']",4.0,己,2005,乙酉,False,False,False,七殺,食神,False,False,False,False,False,日干剋日支,False,False,False,0
124,30.0,1973-12-11,"['癸', '丑', '甲', '子', '辛', '巳', '戊', '子']",3.0,辛,2000,庚辰,False,False,False,劫財,正印,False,False,False,False,False,日支剋日干,False,False,False,0
125,46.0,1960-06-29,"['庚', '子', '壬', '午', '戊', '子', '壬', '子']",27.0,戊,1979,己未,False,False,False,劫財,劫財,False,False,False,False,False,日干剋日支,False,False,False,0
135,39.0,1971-07-21,"['辛', '亥', '乙', '未', '丁', '未', '庚', '子']",14.0,丁,1996,丙子,False,False,False,劫財,七殺,False,False,False,False,False,日干生日支,False,False,False,0
149,39.0,1969-10-29,"['己', '酉', '甲', '戌', '丁', '丑', '庚', '子']",14.0,丁,1994,甲戌,False,False,False,正印,傷官,False,False,False,False,False,日干生日支,False,False,False,0
150,41.0,1967-11-19,"['丁', '未', '辛', '亥', '丁', '亥', '庚', '子']",14.0,丁,1994,甲戌,False,False,False,正印,傷官,False,False,False,False,False,日支剋日干,False,False,False,0
154,33.0,1978-03-19,"['戊', '午', '乙', '卯', '庚', '辰', '丙', '子']",9.0,庚,2002,壬午,False,False,False,食神,七殺,False,False,False,False,False,日支生日干,False,False,False,0
156,53.0,1947-07-14,"['丁', '亥', '丁', '未', '甲', '午', '甲', '子']",8.0,甲,1992,壬申,False,False,False,偏印,七殺,False,False,False,False,False,日干生日支,False,False,False,0
157,37.0,1963-11-02,"['癸', '卯', '壬', '戌', '己', '酉', '甲', '子']",10.0,己,1990,庚午,False,False,False,傷官,正印,False,False,False,False,False,日干生日支,False,False,False,0
160,31.0,1972-09-23,"['壬', '子', '己', '酉', '丁', '巳', '庚', '子']",9.0,丁,1994,甲戌,False,False,False,正印,傷官,False,False,False,False,False,比和,False,False,False,0
161,55.0,1951-10-17,"['辛', '卯', '戊', '戌', '庚', '寅', '丙', '子']",14.0,庚,1989,己巳,False,False,False,正印,正官,False,False,False,False,False,日干剋日支,False,False,False,0
167,39.0,1972-11-06,"['壬', '子', '庚', '戌', '辛', '丑', '戊', '子']",25.0,辛,1988,戊辰,False,False,False,正印,正印,False,False,False,False,False,日支生日干,False,False,False,0
174,45.0,1955-11-24,"['乙', '未', '丁', '亥', '己', '丑', '甲', '子']",21.0,己,1980,庚申,False,False,False,傷官,傷官,False,False,False,False,False,比和,False,False,False,0
188,50.0,1956-11-11,"['丙', '申', '己', '亥', '壬', '午', '庚', '子']",24.0,壬,1980,庚申,False,False,False,偏印,偏印,False,False,False,False,False,日干剋日支,False,False,False,0
192,30.0,1982-03-02,"['壬', '戌', '壬', '寅', '甲', '申', '甲', '子']",4.0,甲,2007,丁亥,False,False,False,傷官,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
194,41.0,1970-12-29,"['庚', '戌', '戊', '子', '癸', '未', '壬', '子']",19.0,癸,1993,癸酉,False,False,False,比肩,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
195,38.0,1975-11-08,"['乙', '卯', '丁', '亥', '戊', '午', '壬', '子']",23.0,戊,1987,丁卯,False,False,False,正印,正官,False,False,False,False,False,日支生日干,False,False,False,0
198,31.0,1974-03-07,"['甲', '寅', '丁', '卯', '丁', '未', '庚', '子']",,丁,1998,戊寅,False,False,False,傷官,正印,False,False,False,False,False,日干生日支,False,False,False,0
199,51.0,1954-03-10,"['甲', '午', '丁', '卯', '乙', '丑', '丙', '子']",29.0,乙,1975,乙卯,False,False,False,比肩,比肩,False,False,False,False,False,日干剋日支,False,False,False,0
204,40.0,1973-06-29,"['癸', '丑', '戊', '午', '丙', '申', '戊', '子']",7.0,丙,2003,癸未,False,False,False,正官,傷官,False,False,False,False,False,日干剋日支,False,False,False,0
