,year_ganzi,日柱,count,num_marriage_of_this_yera,日柱_percentage
1029,辛巳,丙戌,33,1450,2.276
1042,辛巳,壬申,33,1450,2.276
1063,辛巳,甲子,33,1450,2.276
1059,辛巳,戊戌,32,1450,2.207
1050,辛巳,庚午,31,1450,2.138
1068,辛巳,癸丑,31,1450,2.138
1073,辛巳,癸酉,31,1450,2.138
1047,辛巳,己巳,30,1450,2.069
1026,辛巳,丙午,29,1450,2.0
1062,辛巳,甲午,29,1450,2.0
1067,辛巳,甲辰,29,1450,2.0
1038,辛巳,壬午,28,1450,1.931
1064,辛巳,甲寅,28,1450,1.931
1039,辛巳,壬子,27,1450,1.862
1074,辛巳,辛丑,27,1450,1.862
1032,辛巳,乙丑,26,1450,1.793
1036,辛巳,乙未,26,1450,1.793
1065,辛巳,甲戌,26,1450,1.793
1075,辛巳,辛亥,26,1450,1.793
1079,辛巳,辛酉,26,1450,1.793
1040,辛巳,壬寅,25,1450,1.724
1046,辛巳,己卯,25,1450,1.724
1049,辛巳,己酉,25,1450,1.724
1057,辛巳,戊子,25,1450,1.724
1066,辛巳,甲申,25,1450,1.724
1069,辛巳,癸亥,25,1450,1.724
1070,辛巳,癸卯,25,1450,1.724
1078,辛巳,辛未,25,1450,1.724
1053,辛巳,庚戌,24,1450,1.655
1054,辛巳,庚申,24,1450,1.655
1056,辛巳,戊午,24,1450,1.655
1058,辛巳,戊寅,24,1450,1.655
1072,辛巳,癸未,24,1450,1.655
1023,辛巳,丁巳,23,1450,1.586
1025,辛巳,丁酉,23,1450,1.586
1041,辛巳,壬戌,23,1450,1.586
1044,辛巳,己丑,23,1450,1.586
1045,辛巳,己亥,23,1450,1.586
1061,辛巳,戊辰,23,1450,1.586
1076,辛巳,辛卯,23,1450,1.586
1021,辛巳,丁亥,22,1450,1.517
1027,辛巳,丙子,22,1450,1.517
1031,辛巳,丙辰,22,1450,1.517
1060,辛巳,戊申,22,1450,1.517
1071,辛巳,癸巳,22,1450,1.517
1020,辛巳,丁丑,21,1450,1.448
1028,辛巳,丙寅,21,1450,1.448
1035,辛巳,乙巳,21,1450,1.448
1048,辛巳,己未,21,1450,1.448
1051,辛巳,庚子,21,1450,1.448
1077,辛巳,辛巳,21,1450,1.448
1024,辛巳,丁未,20,1450,1.379
1033,辛巳,乙亥,20,1450,1.379
1034,辛巳,乙卯,20,1450,1.379
1037,辛巳,乙酉,19,1450,1.31
1052,辛巳,庚寅,18,1450,1.241
1043,辛巳,壬辰,15,1450,1.034
1055,辛巳,庚辰,15,1450,1.034
1030,辛巳,丙申,13,1450,0.897
1022,辛巳,丁卯,12,1450,0.828
977,辛卯,乙酉,79,3511,2.25
991,辛卯,庚子,74,3511,2.108
980,辛卯,壬寅,73,3511,2.079
987,辛卯,己巳,71,3511,2.022
963,辛卯,丁巳,69,3511,1.965
981,辛卯,壬戌,69,3511,1.965
989,辛卯,己酉,69,3511,1.965
965,辛卯,丁酉,68,3511,1.937
992,辛卯,庚寅,68,3511,1.937
984,辛卯,己丑,66,3511,1.88
997,辛卯,戊子,66,3511,1.88
982,辛卯,壬申,64,3511,1.823
1017,辛卯,辛巳,64,3511,1.823
995,辛卯,庚辰,63,3511,1.794
996,辛卯,戊午,63,3511,1.794
1009,辛卯,癸亥,63,3511,1.794
990,辛卯,庚午,62,3511,1.766
994,辛卯,庚申,62,3511,1.766
1013,辛卯,癸酉,62,3511,1.766
966,辛卯,丙午,61,3511,1.737
970,辛卯,丙申,61,3511,1.737
972,辛卯,乙丑,61,3511,1.737
1010,辛卯,癸卯,61,3511,1.737
1015,辛卯,辛亥,61,3511,1.737
975,辛卯,乙巳,60,3511,1.709
976,辛卯,乙未,60,3511,1.709
988,辛卯,己未,60,3511,1.709
998,辛卯,戊寅,60,3511,1.709
967,辛卯,丙子,59,3511,1.68
983,辛卯,壬辰,59,3511,1.68
1001,辛卯,戊辰,59,3511,1.68
964,辛卯,丁未,58,3511,1.652
974,辛卯,乙卯,58,3511,1.652
985,辛卯,己亥,58,3511,1.652
1002,辛卯,甲午,58,3511,1.652
961,辛卯,丁亥,57,3511,1.623
968,辛卯,丙寅,56,3511,1.595
969,辛卯,丙戌,56,3511,1.595
993,辛卯,庚戌,56,3511,1.595
1003,辛卯,甲子,56,3511,1.595
1004,辛卯,甲寅,56,3511,1.595
1005,辛卯,甲戌,55,3511,1.567
1007,辛卯,甲辰,55,3511,1.567
979,辛卯,壬子,54,3511,1.538
1008,辛卯,癸丑,54,3511,1.538
973,辛卯,乙亥,53,3511,1.51
1006,辛卯,甲申,53,3511,1.51
999,辛卯,戊戌,52,3511,1.481
971,辛卯,丙辰,51,3511,1.453
1018,辛卯,辛未,51,3511,1.453
1019,辛卯,辛酉,51,3511,1.453
1000,辛卯,戊申,50,3511,1.424
960,辛卯,丁丑,49,3511,1.396
962,辛卯,丁卯,48,3511,1.367
986,辛卯,己卯,48,3511,1.367
1016,辛卯,辛卯,47,3511,1.339
1012,辛卯,癸未,45,3511,1.282
978,辛卯,壬午,44,3511,1.253
1011,辛卯,癸巳,44,3511,1.253
1014,辛卯,辛丑,41,3511,1.168
953,癸未,癸酉,70,3041,2.302
958,癸未,辛未,65,3041,2.137
906,癸未,丙午,61,3041,2.006
954,癸未,辛丑,59,3041,1.94
957,癸未,辛巳,59,3041,1.94
922,癸未,壬申,58,3041,1.907
949,癸未,癸亥,58,3041,1.907
948,癸未,癸丑,57,3041,1.874
912,癸未,乙丑,56,3041,1.841
921,癸未,壬戌,56,3041,1.841
927,癸未,己巳,56,3041,1.841
939,癸未,戊戌,56,3041,1.841
941,癸未,戊辰,56,3041,1.841
955,癸未,辛亥,56,3041,1.841
909,癸未,丙戌,55,3041,1.809
916,癸未,乙未,55,3041,1.809
924,癸未,己丑,54,3041,1.776
942,癸未,甲午,54,3041,1.776
943,癸未,甲子,54,3041,1.776
945,癸未,甲戌,54,3041,1.776
950,癸未,癸卯,54,3041,1.776
900,癸未,丁丑,53,3041,1.743
918,癸未,壬午,53,3041,1.743
926,癸未,己卯,53,3041,1.743
930,癸未,庚午,53,3041,1.743
