,日柱,year_ganzi,count,num_marriage_of_this_日主,流年_percentage
1074,辛酉,甲午,63,808,7.797
1075,辛酉,甲申,58,808,7.178
1071,辛酉,庚寅,56,808,6.931
1076,辛酉,癸巳,56,808,6.931
1064,辛酉,丙戌,52,808,6.436
1073,辛酉,戊子,52,808,6.436
1062,辛酉,丁亥,51,808,6.312
1078,辛酉,辛卯,51,808,6.312
1067,辛酉,乙酉,49,808,6.064
1077,辛酉,癸未,48,808,5.941
1068,辛酉,壬午,47,808,5.817
1069,辛酉,壬辰,45,808,5.569
1070,辛酉,己丑,45,808,5.569
1065,辛酉,丙申,41,808,5.074
1066,辛酉,乙未,36,808,4.455
1079,辛酉,辛巳,26,808,3.218
1072,辛酉,庚辰,22,808,2.723
1063,辛酉,丁酉,10,808,1.238
1053,辛未,庚寅,74,862,8.585
1049,辛未,乙酉,67,862,7.773
1050,辛未,壬午,65,862,7.541
1059,辛未,癸未,65,862,7.541
1051,辛未,壬辰,64,862,7.425
1055,辛未,戊子,56,862,6.497
1056,辛未,甲午,55,862,6.381
1058,辛未,癸巳,55,862,6.381
1057,辛未,甲申,53,862,6.148
1060,辛未,辛卯,51,862,5.916
1044,辛未,丁亥,42,862,4.872
1046,辛未,丙戌,42,862,4.872
1048,辛未,乙未,37,862,4.292
1052,辛未,己丑,37,862,4.292
1054,辛未,庚辰,33,862,3.828
1047,辛未,丙申,30,862,3.48
1061,辛未,辛巳,25,862,2.9
1045,辛未,丁酉,11,862,1.276
1038,辛巳,甲午,73,878,8.314
1040,辛巳,癸巳,66,878,7.517
1042,辛巳,辛卯,64,878,7.289
1031,辛巳,乙酉,63,878,7.175
1033,辛巳,壬辰,63,878,7.175
1034,辛巳,己丑,60,878,6.834
1041,辛巳,癸未,59,878,6.72
1028,辛巳,丙戌,58,878,6.606
1026,辛巳,丁亥,51,878,5.809
1037,辛巳,戊子,51,878,5.809
1035,辛巳,庚寅,48,878,5.467
1039,辛巳,甲申,46,878,5.239
1032,辛巳,壬午,44,878,5.011
1030,辛巳,乙未,42,878,4.784
1029,辛巳,丙申,39,878,4.442
1036,辛巳,庚辰,24,878,2.733
1043,辛巳,辛巳,21,878,2.392
1027,辛巳,丁酉,6,878,0.683
1020,辛卯,甲午,73,826,8.838
1014,辛卯,壬午,68,826,8.232
1021,辛卯,甲申,62,826,7.506
1022,辛卯,癸巳,62,826,7.506
1023,辛卯,癸未,52,826,6.295
1015,辛卯,壬辰,49,826,5.932
1008,辛卯,丁亥,47,826,5.69
1013,辛卯,乙酉,47,826,5.69
1024,辛卯,辛卯,47,826,5.69
1010,辛卯,丙戌,46,826,5.569
1016,辛卯,己丑,45,826,5.448
1019,辛卯,戊子,45,826,5.448
1012,辛卯,乙未,43,826,5.206
1011,辛卯,丙申,42,826,5.085
1017,辛卯,庚寅,37,826,4.479
1018,辛卯,庚辰,26,826,3.148
1025,辛卯,辛巳,23,826,2.785
1009,辛卯,丁酉,12,826,1.453
1006,辛亥,辛卯,61,778,7.841
1002,辛亥,甲午,60,778,7.712
997,辛亥,壬辰,57,778,7.326
1004,辛亥,癸巳,56,778,7.198
1005,辛亥,癸未,56,778,7.198
995,辛亥,乙酉,51,778,6.555
998,辛亥,己丑,50,778,6.427
999,辛亥,庚寅,49,778,6.298
1003,辛亥,甲申,49,778,6.298
990,辛亥,丁亥,45,778,5.784
992,辛亥,丙戌,42,778,5.398
996,辛亥,壬午,42,778,5.398
1001,辛亥,戊子,38,778,4.884
994,辛亥,乙未,34,778,4.37
993,辛亥,丙申,30,778,3.856
1007,辛亥,辛巳,26,778,3.342
1000,辛亥,庚辰,19,778,2.442
991,辛亥,丁酉,13,778,1.671
984,辛丑,甲午,67,756,8.862
986,辛丑,癸巳,66,756,8.73
987,辛丑,癸未,59,756,7.804
977,辛丑,乙酉,52,756,6.878
976,辛丑,乙未,51,756,6.746
979,辛丑,壬辰,51,756,6.746
972,辛丑,丁亥,47,756,6.217
974,辛丑,丙戌,42,756,5.556
988,辛丑,辛卯,41,756,5.423
980,辛丑,己丑,39,756,5.159
985,辛丑,甲申,39,756,5.159
975,辛丑,丙申,36,756,4.762
981,辛丑,庚寅,36,756,4.762
983,辛丑,戊子,36,756,4.762
978,辛丑,壬午,35,756,4.63
989,辛丑,辛巳,27,756,3.571
982,辛丑,庚辰,18,756,2.381
973,辛丑,丁酉,14,756,1.852
969,癸酉,癸未,70,826,8.475
959,癸酉,乙酉,66,826,7.99
966,癸酉,甲午,64,826,7.748
970,癸酉,辛卯,62,826,7.506
954,癸酉,丁亥,60,826,7.264
962,癸酉,己丑,59,826,7.143
961,癸酉,壬辰,57,826,6.901
968,癸酉,癸巳,57,826,6.901
963,癸酉,庚寅,48,826,5.811
956,癸酉,丙戌,44,826,5.327
965,癸酉,戊子,44,826,5.327
967,癸酉,甲申,37,826,4.479
958,癸酉,乙未,33,826,3.995
957,癸酉,丙申,32,826,3.874
960,癸酉,壬午,32,826,3.874
971,癸酉,辛巳,31,826,3.753
964,癸酉,庚辰,18,826,2.179
955,癸酉,丁酉,12,826,1.453
943,癸未,壬辰,67,856,7.827
948,癸未,甲午,67,856,7.827
950,癸未,癸巳,66,856,7.71
945,癸未,庚寅,63,856,7.36
942,癸未,壬午,59,856,6.893
940,癸未,乙未,54,856,6.308
947,癸未,戊子,54,856,6.308
