西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 )
1984,9,戊寅,甲子,,
1985,10,戊寅,乙丑,,
1986,11,戊寅,丙寅,,
1987,12,戊寅,丁卯,,
1988,13,戊寅,戊辰,,
1989,14,戊寅,己巳,,
1990,15,戊寅,庚午,地支火局,
1991,16,戊寅,辛未,,
1992,17,戊寅,壬申,,
1993,18,戊寅,癸酉,天干化火,
1994,19,丁丑,甲戌,地支土局,
1995,20,丁丑,乙亥,,
1996,21,丁丑,丙子,地支土局,
1997,22,丁丑,丁丑,地支土局,
1998,23,丁丑,戊寅,,
1999,24,丁丑,己卯,,
2000,25,丁丑,庚辰,地支土局,
2001,26,丁丑,辛巳,地支金局,
2002,27,丁丑,壬午,天干化木,
2003,28,丁丑,癸未,地支土局,
2004,29,丙子,甲申,地支水局,
2005,30,丙子,乙酉,,
2006,31,丙子,丙戌,,
2007,32,丙子,丁亥,,
2008,33,丙子,戊子,,
2009,34,丙子,己丑,地支土局,
2010,35,丙子,庚寅,,
2011,36,丙子,辛卯,天干化水,
2012,37,丙子,壬辰,地支水局,
2013,38,丙子,癸巳,,
2014,39,乙亥,甲午,,
2015,40,乙亥,乙未,地支木局,
2016,41,乙亥,丙申,,
2017,42,乙亥,丁酉,,
2018,43,乙亥,戊戌,,
2019,44,乙亥,己亥,,
2020,45,乙亥,庚子,天干化金,
2021,46,乙亥,辛丑,,
2022,47,乙亥,壬寅,地支合木,
2023,48,乙亥,癸卯,地支木局,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
2024,49,甲戌,甲辰,地支土局,
2025,50,甲戌,乙巳,,
2026,51,甲戌,丙午,地支火局,
2027,52,甲戌,丁未,地支土局,
2028,53,甲戌,戊申,,
2029,54,甲戌,己酉,天干化土,
2030,55,甲戌,庚戌,地支土局,
2031,56,甲戌,辛亥,,
2032,57,甲戌,壬子,,
2033,58,甲戌,癸丑,地支土局,
2034,59,癸酉,甲寅,,
2035,60,癸酉,乙卯,,
2036,61,癸酉,丙辰,地支合金,
2037,62,癸酉,丁巳,地支金局,
2038,63,癸酉,戊午,天干化火,
2039,64,癸酉,己未,,
2040,65,癸酉,庚申,,
2041,66,癸酉,辛酉,,
2042,67,癸酉,壬戌,,
2043,68,癸酉,癸亥,,
2044,69,壬申,甲子,地支水局,
2045,70,壬申,乙丑,,
2046,71,壬申,丙寅,,
2047,72,壬申,丁卯,天干化木,
2048,73,壬申,戊辰,地支水局,
2049,74,壬申,己巳,地支合水,
2050,75,壬申,庚午,,
2051,76,壬申,辛未,,
2052,77,壬申,壬申,,
2053,78,壬申,癸酉,,
2054,79,辛未,甲戌,地支土局,
2055,80,辛未,乙亥,地支木局,
2056,81,辛未,丙子,天干化水,
2057,82,辛未,丁丑,地支土局,
2058,83,辛未,戊寅,,
2059,84,辛未,己卯,地支木局,
2060,85,辛未,庚辰,地支土局,
2061,86,辛未,辛巳,,
2062,87,辛未,壬午,,
2063,88,辛未,癸未,地支土局,
