uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
0,2006-06-09,2000-06-26,30.0,5.0,Necesario,1.0,1975-12-18,SECUNDARIA,2000,1975,2006,12,18,1,乙酉,壬,子,戊,戌,戊,子,乙,卯,庚辰,False,True,False,食神,比肩,False,False,False,False,False,比和,False,False,False,True,False,0,正官,傷官,False,False,正官,正官,比肩,正財,1,2,yes,no,yes,no,no,no,yes,25,21-30,False,False,False,False,False,False,False,False,False
1,2005-02-01,1975-12-18,49.0,,Necesario,,1955-02-22,PREPARATORIA,1975,1955,2005,2,22,1,丙子,甲,子,甲,寅,戊,寅,乙,未,乙卯,False,False,False,劫財,劫財,False,False,False,False,False,比和,False,True,False,False,False,1,食神,正印,False,False,劫財,正財,偏財,比肩,2,0,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,False,False
2,2006-02-01,1987-12-03,42.0,18.0,Necesario,2.0,1964-01-20,PROFESIONAL,1987,1964,2006,1,20,1,癸亥,壬,子,戊,辰,乙,丑,癸,卯,丁卯,False,False,False,正印,正官,False,False,False,False,False,比和,False,True,False,False,False,1,正財,偏財,True,True,正財,正官,正官,劫財,1,2,no,no,no,no,no,no,no,23,21-30,True,True,False,False,True,False,False,False,False
3,2006-02-01,1998-11-14,30.0,7.0,Necesario,2.0,1975-10-30,PROFESIONAL,1998,1975,2006,10,30,1,甲申,甲,子,己,酉,丙,戌,乙,卯,戊寅,False,False,False,劫財,正官,False,False,False,False,False,日干生日支,False,False,False,False,False,1,正官,傷官,False,False,七殺,七殺,正印,劫財,0,2,no,no,no,no,no,no,no,23,21-30,False,False,False,False,True,False,False,False,False
4,2006-02-01,1995-01-20,32.0,11.0,Necesario,2.0,1973-03-28,SECUNDARIA,1995,1973,2006,3,28,1,癸丑,壬,子,癸,亥,乙,卯,癸,丑,乙亥,True,False,False,食神,劫財,False,False,False,False,False,比和,False,False,False,False,False,0,比肩,七殺,False,False,比肩,七殺,食神,食神,0,1,no,no,no,no,no,no,no,22,21-30,False,False,False,False,False,False,False,False,False
5,2007-02-01,1991-08-16,36.0,15.0,Necesario,2.0,1970-12-13,PROFESIONAL,1991,1970,2007,12,13,1,庚寅,庚,子,丁,卯,戊,子,庚,戌,辛未,False,False,False,偏財,食神,True,False,False,False,False,日支生日干,True,False,False,False,False,0,正財,正印,True,False,正財,傷官,傷官,七殺,1,1,yes,no,yes,no,no,no,yes,21,0-20,True,False,False,False,False,False,True,False,False
6,2007-02-01,1999-09-17,31.0,6.0,Necesario,1.0,1975-02-17,PROFESIONAL,1999,1975,2007,2,17,1,乙亥,甲,子,甲,午,戊,寅,乙,卯,己卯,False,False,False,正財,劫財,True,False,True,False,False,日干生日支,False,False,False,False,False,1,劫財,偏印,False,False,劫財,劫財,偏財,比肩,1,0,no,no,no,no,no,no,no,24,21-30,False,False,False,False,False,False,True,False,False
7,2008-02-01,2006-06-03,31.0,1.0,Voluntario,,1976-12-02,PROFESIONAL,2006,1976,2008,12,2,1,壬寅,壬,子,戊,子,己,亥,丙,辰,丙戌,False,False,False,偏印,比肩,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,偏財,七殺,True,False,偏印,比肩,劫財,偏財,1,0,no,no,no,no,no,no,no,30,21-30,True,False,False,False,False,False,False,False,False
8,2008-02-01,2001-02-09,31.0,7.0,Voluntario,,1976-11-17,PROFESIONAL,2001,1976,2008,11,17,1,辛丑,壬,子,癸,酉,己,亥,丙,辰,辛巳,False,False,False,偏印,偏財,False,True,False,False,False,日支生日干,True,False,True,False,False,1,偏印,七殺,False,False,正財,正官,七殺,劫財,1,2,yes,no,yes,no,no,no,yes,25,21-30,False,False,False,False,False,False,False,True,False
9,2011-02-01,2000-02-02,41.0,2.0,Necesario,2.0,1969-06-04,PREPARATORIA,2000,1969,2011,6,4,1,丙寅,丙,子,庚,戌,己,巳,己,酉,庚辰,False,True,False,比肩,偏印,False,False,False,False,False,日支生日干,False,False,False,False,False,0,七殺,偏財,False,True,正印,劫財,正印,正官,0,1,no,no,no,no,no,no,no,31,21-30,False,True,False,False,False,False,False,False,False
